DataBase,Network,ClimateZoneType,AirportType,InspectionID,BranchName,InspectionDate,SectionName,SectionID,Surface,Rank,ConstructionInspection,PCI,ConstructionDate,Age,PatchingDate,HasSamples
vphl,PHILADELPHIA INTL AIRPORT,,,928,RW9R,2021-04-12 00:00:00,20L,501,AC,P,False,70,2010-06-01 00:00:00,11,,6
vphl,PHILADELPHIA INTL AIRPORT,,,942,RW17,2021-04-11 00:00:00,10L,386,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,945,RW9R,2019-07-13 00:00:00,60LC,137,AC,P,True,100,2019-07-13 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,947,RW9R,2017-11-13 00:00:00,30R,497,AC,P,False,75,2010-06-01 00:00:00,7,,18
vphl,PHILADELPHIA INTL AIRPORT,,,957,RW9R,2017-11-13 00:00:00,30RC,429,AC,P,False,54,2010-06-01 00:00:00,7,,16
vphl,PHILADELPHIA INTL AIRPORT,,,959,RW17,2021-04-12 00:00:00,30L,398,AAC,P,False,100,2021-04-11 00:00:00,0,,6
vphl,PHILADELPHIA INTL AIRPORT,,,323,RW9R,2017-11-13 00:00:00,40R,437,AC,P,False,78,2010-06-01 00:00:00,7,,3
vphl,PHILADELPHIA INTL AIRPORT,,,327,RW9R,2021-04-12 00:00:00,40L,354,AC,P,False,64,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,335,RW9L,2021-04-12 00:00:00,40L,366,AAC,P,False,82,2016-08-23 00:00:00,5,,5
vphl,PHILADELPHIA INTL AIRPORT,,,338,RW9R,2018-06-01 00:00:00,50RC,212,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,339,RW17,2021-04-01 00:00:00,30,463,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1010,RW8,2021-04-12 00:00:00,10R,329,AC,S,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1026,RW9L,2017-11-13 00:00:00,40C,387,AAC,P,False,75,2012-06-02 00:00:00,5,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1034,RW17,2017-11-13 00:00:00,60L,376,AAC,P,False,86,2009-01-01 00:00:00,8,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1046,RW17,2021-04-11 00:00:00,20,378,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1047,RW8,2017-11-13 00:00:00,10R,329,AC,S,False,56,1999-06-01 00:00:00,18,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1048,RW9L,2021-04-12 00:00:00,40R,417,AAC,P,False,76,2012-06-02 00:00:00,9,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1056,RW8,2006-05-22 00:00:00,40L,419,AC,S,True,100,2006-05-22 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1057,RW9L,2017-11-13 00:00:00,20C,397,AAC,P,False,80,2013-12-23 00:00:00,4,,10
vphl,PHILADELPHIA INTL AIRPORT,,,1062,RW9L,2014-08-17 00:00:00,10L,322,AAC,P,True,100,2014-08-17 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1070,RW17,2017-11-13 00:00:00,20R,459,AAC,P,False,47,2003-01-01 00:00:00,14,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1071,RW17,2021-04-12 00:00:00,05L,478,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1080,RW9R,2021-04-12 00:00:00,40RC,243,AC,P,False,43,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1084,RW9L,2021-04-12 00:00:00,20L,445,AAC,P,False,82,2016-08-23 00:00:00,5,,10
vphl,PHILADELPHIA INTL AIRPORT,,,1087,RW8,2021-04-11 00:00:00,10L,491,AC,S,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,411,RW9R,2017-11-13 00:00:00,20RC,414,AC,P,False,64,2010-06-01 00:00:00,7,,6
vphl,PHILADELPHIA INTL AIRPORT,,,422,RW17,2021-04-11 00:00:00,05R,421,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,503,RW9R,2017-11-13 00:00:00,10LC,513,AC,P,False,66,2010-06-01 00:00:00,7,,4
vphl,PHILADELPHIA INTL AIRPORT,,,504,RW8,2021-04-12 00:00:00,40L,419,AC,S,False,69,2006-05-22 00:00:00,15,2021-04-01 00:00:00,6
vphl,PHILADELPHIA INTL AIRPORT,,,671,RW9R,2021-04-12 00:00:00,30RC,429,AC,P,False,39,2010-06-01 00:00:00,11,,17
vphl,PHILADELPHIA INTL AIRPORT,,,1128,RW17,2021-04-12 00:00:00,20,378,AAC,P,False,100,2021-04-11 00:00:00,0,,6
vphl,PHILADELPHIA INTL AIRPORT,,,1136,RW9R,2017-11-13 00:00:00,10RC,358,AC,P,False,67,2010-06-01 00:00:00,7,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1153,RW9R,2018-06-01 00:00:00,50L,21,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1165,RW17,2021-04-11 00:00:00,42L,448,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1172,RW9R,2017-11-13 00:00:00,10L,371,AC,P,False,79,2010-06-01 00:00:00,7,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1181,RW8,2021-04-01 00:00:00,20C,477,AC,S,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1184,RW17,2021-04-12 00:00:00,30,463,AAC,P,False,100,2021-04-11 00:00:00,0,,6
vphl,PHILADELPHIA INTL AIRPORT,,,1186,RW9R,2018-06-01 00:00:00,60L,207,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1197,RW9R,2019-07-13 00:00:00,60R,199,AC,P,True,100,2019-07-13 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1199,RW9L,2017-11-13 00:00:00,30R,436,AAC,P,False,82,2014-08-17 00:00:00,3,,6
vphl,PHILADELPHIA INTL AIRPORT,,,672,RW9L,2017-11-13 00:00:00,40R,417,AAC,P,False,81,2012-06-02 00:00:00,5,,3
vphl,PHILADELPHIA INTL AIRPORT,,,676,RW8,2008-08-16 00:00:00,30R,369,AC,S,True,100,2008-08-16 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,678,RW8,2021-04-12 00:00:00,20L,210,AC,S,False,100,2021-04-11 00:00:00,0,,3
vphl,PHILADELPHIA INTL AIRPORT,,,684,RW9L,2013-12-23 00:00:00,20C,397,AAC,P,True,100,2013-12-23 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,689,RW17,2021-04-11 00:00:00,42R,382,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,303,RW8,2007-01-18 00:00:00,30L,452,AC,S,True,100,2007-01-18 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1249,RW9L,2017-11-13 00:00:00,20R,416,AAC,P,False,84,2012-06-01 00:00:00,5,,10
vphl,PHILADELPHIA INTL AIRPORT,,,1266,RW9L,2021-04-12 00:00:00,30C,485,AAC,P,False,74,2012-06-01 00:00:00,9,,7
vphl,PHILADELPHIA INTL AIRPORT,,,1273,RW17,2017-11-13 00:00:00,60,330,AAC,P,False,74,2009-01-01 00:00:00,8,,3
vphl,PHILADELPHIA INTL AIRPORT,,,871,RW9R,2021-04-12 00:00:00,20LC,235,AC,P,False,47,2010-06-01 00:00:00,11,,6
vphl,PHILADELPHIA INTL AIRPORT,,,990,RW9L,2014-08-17 00:00:00,30L,410,AAC,P,True,100,2014-08-17 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,994,RW17,2021-04-12 00:00:00,60L,376,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1297,RW17,2021-04-11 00:00:00,30L,398,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1302,RW9L,2017-11-13 00:00:00,10L,322,AAC,P,False,88,2014-08-17 00:00:00,3,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1304,RW17,2011-07-04 00:00:00,44L,320,AAC,P,True,100,2011-07-04 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1324,RW17,2021-04-01 00:00:00,60R,394,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1329,RW17,2021-04-12 00:00:00,40,456,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1330,RW8,2021-04-11 00:00:00,20R,111,AC,S,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1341,RW17,2021-04-01 00:00:00,42L,448,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1344,RW9R,2021-04-12 00:00:00,20RC,414,AC,P,False,48,2010-06-01 00:00:00,11,,6
vphl,PHILADELPHIA INTL AIRPORT,,,1345,RW9R,2021-04-12 00:00:00,50L,21,AC,P,False,90,2019-01-01 00:00:00,2,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1353,RW9L,2017-11-13 00:00:00,10R,380,AAC,P,False,83,2014-08-17 00:00:00,3,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1354,RW17,2021-04-12 00:00:00,10,285,AAC,P,False,100,2021-04-11 00:00:00,0,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1355,RW8,2017-11-13 00:00:00,10L,491,AC,S,False,57,1999-06-01 00:00:00,18,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1359,RW17,2017-11-13 00:00:00,05R,421,AAC,P,False,74,2009-01-01 00:00:00,8,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1362,RW17,2021-04-11 00:00:00,60,330,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1369,RW8,2021-04-11 00:00:00,20C,477,AC,S,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1370,RW17,2017-11-13 00:00:00,60R,394,AAC,P,False,74,2009-01-01 00:00:00,8,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1385,RW17,2021-04-12 00:00:00,42R,382,AAC,P,False,100,2021-04-11 00:00:00,0,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1396,RW17,2021-04-11 00:00:00,20L,226,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1398,RW17,2021-04-11 00:00:00,40,456,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1401,RW9L,2021-04-12 00:00:00,20C,397,AAC,P,False,77,2013-12-23 00:00:00,8,,10
vphl,PHILADELPHIA INTL AIRPORT,,,1415,RW9R,2018-06-01 00:00:00,60LC,137,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1424,RW17,2021-04-12 00:00:00,60,330,AAC,P,False,100,2021-04-11 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1437,RW17,2017-11-13 00:00:00,50L,346,AAC,P,False,78,2009-07-19 00:00:00,8,,1
vphl,PHILADELPHIA INTL AIRPORT,,,1445,RW17,2017-11-13 00:00:00,44,232,AAC,P,False,74,2003-01-01 00:00:00,14,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1447,RW8,2017-11-13 00:00:00,30R,369,AC,S,False,65,2008-08-16 00:00:00,9,,8
vphl,PHILADELPHIA INTL AIRPORT,,,1450,RW17,2021-04-01 00:00:00,05L,478,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1478,RW9R,2021-04-12 00:00:00,60LC,137,AC,P,False,91,2019-07-13 00:00:00,2,,6
vphl,PHILADELPHIA INTL AIRPORT,,,1481,RW9R,2021-04-12 00:00:00,40LC,490,AC,P,False,58,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1487,RW17,2021-04-12 00:00:00,20L,226,AAC,P,False,100,2021-04-11 00:00:00,0,,6
vphl,PHILADELPHIA INTL AIRPORT,,,1488,RW8,2021-04-12 00:00:00,20R,111,AC,S,False,100,2021-04-11 00:00:00,0,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1491,RW9R,2021-04-12 00:00:00,40R,437,AC,P,False,63,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,996,RW9L,2014-08-17 00:00:00,30R,436,AAC,P,True,100,2014-08-17 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,998,RW9R,2017-11-13 00:00:00,20R,236,AC,P,False,75,2010-06-01 00:00:00,7,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1001,RW17,2009-07-19 00:00:00,50L,346,AAC,P,True,100,2009-07-19 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1093,RW17,2021-04-01 00:00:00,30L,398,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1100,RW17,2021-04-01 00:00:00,30R,284,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1104,RW9R,2017-11-13 00:00:00,30LC,506,AC,P,False,50,2010-06-01 00:00:00,7,,17
vphl,PHILADELPHIA INTL AIRPORT,,,1550,RW9R,2018-06-01 00:00:00,50R,34,AC,P,True,100,2018-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1557,RW17,2021-04-11 00:00:00,05L,478,AAC,P,True,100,2021-04-11 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1560,RW17,2014-08-18 00:00:00,20,378,AAC,P,False,77,2003-01-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1569,RW9R,2014-08-18 00:00:00,20LC,235,AC,P,False,76,2010-06-01 00:00:00,4,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1572,RW8,2014-08-18 00:00:00,30R,369,AC,S,False,81,2008-08-16 00:00:00,6,,8
vphl,PHILADELPHIA INTL AIRPORT,,,1576,RW9R,2014-08-18 00:00:00,20L,501,AC,P,False,81,2010-06-01 00:00:00,4,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1578,RW8,2014-08-18 00:00:00,20C,477,AC,S,False,63,1999-06-01 00:00:00,15,,23
vphl,PHILADELPHIA INTL AIRPORT,,,1581,RW9L,2014-08-18 00:00:00,10L,322,AAC,P,False,97,2014-08-17 00:00:00,0,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1583,RW9L,2014-08-18 00:00:00,20R,416,AAC,P,False,94,2012-06-01 00:00:00,2,,10
vphl,PHILADELPHIA INTL AIRPORT,,,1584,RW9L,2014-08-18 00:00:00,20L,445,AAC,P,False,94,2012-06-01 00:00:00,2,,10
vphl,PHILADELPHIA INTL AIRPORT,,,1588,RW17,2014-08-18 00:00:00,40,456,AAC,P,False,75,2003-01-01 00:00:00,11,,4
vphl,PHILADELPHIA INTL AIRPORT,,,1591,RW17,2014-08-18 00:00:00,60R,394,AAC,P,False,89,2009-01-01 00:00:00,5,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1594,RW9L,2014-08-18 00:00:00,40L,366,AAC,P,False,100,2012-06-01 00:00:00,2,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1596,RW8,2014-08-18 00:00:00,40L,419,AC,S,False,73,2006-05-22 00:00:00,8,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1601,RW17,2014-08-18 00:00:00,44,232,AAC,P,False,83,2003-01-01 00:00:00,11,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1604,RW17,2014-08-18 00:00:00,50R,268,AAC,P,False,94,2009-07-19 00:00:00,5,,1
vphl,PHILADELPHIA INTL AIRPORT,,,1605,RW9R,2014-08-18 00:00:00,30LC,506,AC,P,False,76,2010-06-01 00:00:00,4,,13
vphl,PHILADELPHIA INTL AIRPORT,,,1613,RW8,2014-08-18 00:00:00,30L,452,AC,S,False,71,2007-01-18 00:00:00,7,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1616,RW17,2014-08-18 00:00:00,30L,398,AAC,P,False,84,2003-01-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1630,RW17,2014-08-18 00:00:00,10R,250,AAC,P,False,81,2003-01-01 00:00:00,11,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1109,RW9L,2017-11-13 00:00:00,30C,485,AAC,P,False,77,2012-06-01 00:00:00,5,,6
vphl,PHILADELPHIA INTL AIRPORT,,,1120,RW9R,2021-04-12 00:00:00,10LC,513,AC,P,False,47,2010-06-01 00:00:00,11,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1214,RW8,1999-06-01 00:00:00,20L,210,AC,S,True,100,1999-06-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1216,RW17,2017-11-13 00:00:00,40R,292,AAC,P,False,45,2003-01-01 00:00:00,14,,3
vphl,PHILADELPHIA INTL AIRPORT,,,1218,RW17,2017-11-13 00:00:00,30L,398,AAC,P,False,53,2003-01-01 00:00:00,14,,5
vphl,PHILADELPHIA INTL AIRPORT,,,1226,RW17,2021-04-01 00:00:00,40,456,AAC,P,True,100,2021-04-01 00:00:00,0,,0
vphl,PHILADELPHIA INTL AIRPORT,,,1666,RW17,2014-08-18 00:00:00,42L,448,AAC,P,False,55,1994-01-01 00:00:00,20,,2
vphl,PHILADELPHIA INTL AIRPORT,,,1668,RW9R,2014-08-18 00:00:00,30RC,429,AC,P,False,80,2010-06-01 00:00:00,4,,13
